id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
65;MP30191;MP30191;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;MP30191.jpg;;;; MP30191 AMORTECEDOR 127/2013 1272013 333157 4166/2012 41662012 4169/2012 41692012 633151 808034MM SE 30727 SE30727 CHEVROLET CELTA CLASSIC CORSA EXCETO GSI / PICK-UP WAGON  AMORTECEDOR SUPER DIANTEIRA NAKATA SE 30727 MONROE 808034MM REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 KYB 333157 KYB 633151
66;16006;16006;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16006.jpg;;;; 16006 MOLA A GAS MG 19038 MG19038 CHEVROLET CHEVETTE HATCH - TODOS OS MODELOS  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 19038
67;B.47478;B47478;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47478.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SB27018; B.47478 B47478 AMORTECEDOR 021/2013 212013 334917MM 37917 4167/2012 41672012 94634887 AC 25068 AC25068 CHEVROLET CHEVETTE HATCH  AMORTECEDOR SUPER TRASEIRA ORIGINAL 94634887 MONROE 37917 NAKATA AC 25068 MONROE 334917MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
68;B.47529;B47529;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;B.47529.jpg;;;; B.47529 B47529 AMORTECEDOR 021/2013 212013 03303839 3303839 334736MM 4167/2012 41672012 443026 AC 25015 AC25015 CHEVROLET CHEVETTE HATCH STD MARAJO TODOS OS MODELOS  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 03303839 NAKATA AC 25015 KYB 443026 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334736MM
69;B.47530;B47530;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47530.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SB27017; B.47530 B47530 AMORTECEDOR 021/2013 212013 334737MM 4167/2012 41672012 9303841 AC 25016 AC25016 CHEVROLET CHEVETTE STD  AMORTECEDOR SUPER TRASEIRA ORIGINAL 9303841 NAKATA AC 25016 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334737MM
70;SB27016;SB27016;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;DIANTEIRA;;SB27016.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47558; SB27016 AMORTECEDOR 021/2013 212013 15736 334736MM 4167/2012 41672012 AC 25015 AC25015 AC 25068 AC25068 CHEVROLET CHEVETTE HATCH STD  AMORTECEDOR SPA - SUPER DIANTEIRA MONROE 15736 NAKATA AC 25068 NAKATA AC 25015 MONROE 334736MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
71;SB27017;SB27017;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SB27017.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47530; SB27017 AMORTECEDOR 021/2013 212013 15737 334737MM 4167/2012 41672012 AC 25016 AC25016 CHEVROLET CHEVETTE STD  AMORTECEDOR SPA - SUPER TRASEIRA MONROE 15737 NAKATA AC 25016 MONROE 334737MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
72;SB27018;SB27018;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SB27018.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47478; SB27018 AMORTECEDOR 021/2013 212013 334917MM 4167/2012 41672012 AC 25068 AC25068 CHEVROLET CHEVETTE HATCH  AMORTECEDOR SPA - SUPER TRASEIRA NAKATA AC 25068 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334917MM
73;B.47464;B47464;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47464.jpg;;;; B.47464 B47464 AMORTECEDOR 021/2013 212013 334059MM 4167/2012 41672012 AC 25455 AC25455 CHEVROLET CHEVY 500  AMORTECEDOR SUPER TRASEIRA NAKATA AC 25455 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334059MM
74;B.47558;B47558;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;B.47558.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SB27016; B.47558 B47558 AMORTECEDOR 021/2013 212013 334058MM 4167/2012 41672012 94615011 AC 25172 AC25172 AC 30828 AC30828 CHEVROLET CHEVY 500  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 94615011 NAKATA AC 25172 NAKATA AC 30828 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334058MM
75;MGC16271;MGC16271;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;MGC16271.jpg;;;; MGC16271 MOLA A GAS MG 16704 MG16704 MG 16952 MG16952 CHEVROLET VOLKSWAGEN CORSA SOMENTE 3 PORTAS GOL 3ª GERACAO / 4ª GERACAO  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16704 NAKATA MG 16952
76;16298;16298;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16298.jpg;;;; 16298 MOLA A GAS MG 16955 MG16955 CHEVROLET CORSA 5 PORTAS  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16955
77;16505;16505;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16505.jpg;;;; 16505 MOLA A GAS MG 16955 MG16955 CHEVROLET CORSA SW TODOS OS MODELOS  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16955
78;GP30133;GP30133;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA ESQUERDA;;GP30133.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SGP30133; GP30133 AMORTECEDOR 023/2013 232013 127/2013 1272013 333756 3338031 333856 4166/2012 41662012 4169/2012 41692012 HG 31104 HG31104 HG 31105 HG31105 SP018 CHEVROLET CORSA  AMORTECEDOR TURBOGAS DIANTEIRA ESQUERDA NAKATA HG 31105 KYB 333756 NAKATA HG 31104 KYB 333856 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 MONROE SP018 KYB 3338031
79;GP30134;GP30134;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA DIREITA;;GP30134.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SGP30134; GP30134 AMORTECEDOR 023/2013 232013 127/2013 1272013 333755 3338030 4166/2012 41662012 4169/2012 41692012 HG 31104 HG31104 HG 31105 HG31105 SP018 CHEVROLET CORSA  AMORTECEDOR TURBOGAS DIANTEIRA DIREITA NAKATA HG 31104 KYB 333755 NAKATA HG 31105 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 MONROE SP018 KYB 3338030
80;BL.1051;BL1051;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;BL.1051.jpg;;;; BL.1051 BL1051 AMORTECEDOR 021/2013 212013 334054MM 345063 4167/2012 41672012 93228390 AC 30747 AC30747 CHEVROLET CORSA PICK-UP  AMORTECEDOR SUPER TRASEIRA ORIGINAL 93228390 NAKATA AC 30747 MONROE 334054MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 KYB 345063
81;GBL1086;GBL1086;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GBL1086.jpg;;;; GBL1086 AMORTECEDOR 021/2013 212013 166593287824 334054MM 343063 4167/2012 41672012 HG 30971 HG30971 CHEVROLET CORSA PICK-UP  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 166593287824 NAKATA HG 30971 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334054MM KYB 343063
82;GP30112;GP30112;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP30112.jpg;;;; GP30112 AMORTECEDOR 023/2013 232013 127/2013 1272013 333157 333831 4166/2012 41662012 4169/2012 41692012 633151 808034MM 93287882 HG 30970 HG30970 CHEVROLET CORSA PICK-UP  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 93287882 NAKATA HG 30970 KYB 333831 KYB 333157 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 MONROE 808034MM KYB 633151
84;MP35941;MP35941;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;MP35941.jpg;;;; MP35941 AMORTECEDOR 333157 333831 3542/2012 35422012 38053 633151 633831 808053MM 93281358 MP30088 SE 30829 SE30829 SE30727 CHEVROLET CORSA PICK-UP  AMORTECEDOR SUPER DIANTEIRA NAKATA SE 30829 REGISTRO INMETRO 3542/2012 MONROE 808053MM KYB 333157 KYB 333831 KYB 633151 KYB 633831 MONROE 38053 NAKATA SE30727 ORIGINAL 93281358 CODIGO ANTIGO MP30088
85;GBL1269;GBL1269;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GBL1269.jpg;;;; GBL1269 AMORTECEDOR 021/2013 212013 4167/2012 41672012 HG 31219 HG31219 SP051 CHEVROLET CRUZE 1ª GERACAO  AMORTECEDOR TURBOGAS TRASEIRA MONROE SP051 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 NAKATA HG 31219
86;GP32959;GP32959;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA ESQUERDA;;GP32959.jpg;;;; GP32959 AMORTECEDOR 127/2013 1272013 339419 4166/2012 41662012 HG 33096 HG33096 SP985 CHEVROLET CRUZE 1ª GERACAO  AMORTECEDOR TURBOGAS DIANTEIRA ESQUERDA NAKATA HG 33096 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 MONROE SP985 KYB 339419
87;GP32960;GP32960;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA DIREITA;;GP32960.jpg;;;; GP32960 AMORTECEDOR 127/2013 1272013 339418 HG 33095 HG33095 SP984 CHEVROLET CRUZE 1ª GERACAO  AMORTECEDOR TURBOGAS DIANTEIRA DIREITA NAKATA HG 33095 REGISTRO INMETRO 127/2013 MONROE SP984 KYB 339418
89;16062;16062;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16062.jpg;;;; 16062 MOLA A GAS MG 16535 MG16535 CHEVROLET IPANEMA SEM LIMPADOR TRASEIRO  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16535
90;22037;22037;AMORTECEDOR;AMORTECEDORES;SUPER;DIREÇÃO;;22037.JPG;;;; 22037 AMORTECEDOR 93251864 CHEVROLET IPANEMA COM DIRECAO MECANICA KADETT  AMORTECEDOR SUPER DIRECAO ORIGINAL 93251864
91;32176;32176;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;32176.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SC32550; 32176 AMORTECEDOR 024/2013 242013 1906/2018 19062018 334065MM 4164/2012 41642012 46065 665036 6978/2016 69782016 93218896 CT 32539 CT32539 CT 32593 CT32593 CHEVROLET IPANEMA TODOS OS MODELOS KADETT EXCETO GSI / SPORT  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 93218896 MONROE 46065 NAKATA CT 32593 KYB 665036 NAKATA CT 32539 REGISTRO INMETRO 024/2013 REGISTRO INMETRO 1906/2018 REGISTRO INMETRO 4164/2012 REGISTRO INMETRO 6978/2016 MONROE 334065MM
92;B.47753;B47753;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47753.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL30201; B.47753 B47753 AMORTECEDOR 021/2013 212013 334953MM 37953 4167/2012 41672012 443471 93233349 AC 30601 AC30601 CHEVROLET IPANEMA TODOS OS MODELOS  AMORTECEDOR SUPER TRASEIRA ORIGINAL 93233349 MONROE 37953 NAKATA AC 30601 KYB 443471 MONROE 334953MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
93;SC32550;SC32550;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;DIANTEIRA;;SC32550.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO 32176; SC32550 AMORTECEDOR 024/2013 242013 15065 334065MM 334953MM 4164/2012 41642012 9617984/001 9617984001 AC 30601 AC30601 CT 32593 CT32593 MR 27065 MR27065 CHEVROLET DAEWOO ESPERO CD IPANEMA TODOS OS MODELOS KADETT  AMORTECEDOR SPA - SUPER DIANTEIRA MONROE 15065 NAKATA AC 30601 NAKATA CT 32593 MONROE 334065MM REGISTRO INMETRO 024/2013 REGISTRO INMETRO 4164/2012 MONROE 334953MM MONROE MR 27065 ORIGINAL 9617984/001
94;SL30201;SL30201;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SL30201.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47753; SL30201 AMORTECEDOR 021/2013 212013 334953MM 4167/2012 41672012 443471 AC 30601 AC30601 CHEVROLET IPANEMA  AMORTECEDOR SPA - SUPER TRASEIRA KYB 443471 NAKATA AC 30601 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334953MM
95;16058;16058;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16058.jpg;;;; 16058 MOLA A GAS MG 16532 MG16532 CHEVROLET KADETT COM LIMPADOR TRASEIRO  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16532
96;MGC16059;MGC16059;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;MGC16059.jpg;;;; MGC16059 MOLA A GAS MG 16533 MG16533 CHEVROLET KADETT  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16533
97;MGC16060;MGC16060;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;MGC16060.JPG;;;; MGC16060 MOLA A GAS MG 16532 MG16532 CHEVROLET KADETT SEM LIMPADOR TRASEIRO  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16532
98;B.47605;B47605;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47605.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL30203; B.47605 B47605 AMORTECEDOR 021/2013 212013 334954MM 4167/2012 41672012 443134 52272799 AC 30591 AC30591 CHEVROLET KADETT EXCETO GSI / SPORT  AMORTECEDOR SUPER TRASEIRA ORIGINAL 52272799 NAKATA AC 30591 KYB 443134 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334954MM
99;B.47727;B47727;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47727.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL30202; B.47727 B47727 AMORTECEDOR 021/2013 212013 334003MM 4167/2012 41672012 93218898 AC 30671 AC30671 CHEVROLET KADETT EXCETO GSI / SPORT  AMORTECEDOR SUPER TRASEIRA ORIGINAL 93218898 NAKATA AC 30671 MONROE 334003MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
100;SL30202;SL30202;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SL30202.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47727; SL30202 AMORTECEDOR 021/2013 212013 15003 334003MM 334954MM 4167/2012 41672012 443134 AC 30591 AC30591 AC 30671 AC30671 CHEVROLET KADETT EXCETO GSI / SPORT  AMORTECEDOR SPA - SUPER TRASEIRA MONROE 15003 NAKATA AC 30591 KYB 443134 NAKATA AC 30671 MONROE 334003MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334954MM
101;SL30203;SL30203;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SL30203.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47605; SL30203 AMORTECEDOR 021/2013 212013 15954 334954MM 4167/2012 41672012 443134 AC 30591 AC30591 CHEVROLET KADETT EXCETO GSI / SPORT  AMORTECEDOR SPA - SUPER TRASEIRA MONROE 15954 NAKATA AC 30591 KYB 443134 MONROE 334954MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
102;B.47430;B47430;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47430.jpg;;;; B.47430 B47430 AMORTECEDOR 021/2013 212013 334917MM 37917 4167/2012 41672012 444339 94608779 AC 25068 AC25068 CHEVROLET MARAJO TODOS OS MODELOS  AMORTECEDOR SUPER TRASEIRA ORIGINAL 94608779 MONROE 37917 NAKATA AC 25068 KYB 444339 MONROE 334917MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
103;16293;16293;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16293.jpg;;;; 16293 MOLA A GAS MG 17260 MG17260 CHEVROLET MERIVA TODOS OS MODELOS  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 17260
104;GBL1256;GBL1256;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GBL1256.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL30587; GBL1256 AMORTECEDOR 021/2013 212013 1956/2018 19562018 343308 4167/2012 41672012 6979/2016 69792016 94761909 HG 31110 HG31110 SP257 CHEVROLET MERIVA TODOS OS MODELOS  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 94761909 NAKATA HG 31110 KYB 343308 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 1956/2018 REGISTRO INMETRO 4167/2012 REGISTRO INMETRO 6979/2016 MONROE SP257
105;GP30381;GP30381;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA ESQUERDA;;GP30381.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SGP30381; GP30381 AMORTECEDOR 023/2013 232013 127/2013 1272013 1904/2018 19042018 333756 4166/2012 41662012 4169/2012 41692012 94761910 HG 31104 HG31104 SP018 SP019 CHEVROLET MERIVA TODOS OS MODELOS  AMORTECEDOR TURBOGAS DIANTEIRA ESQUERDA ORIGINAL 94761910 KYB 333756 NAKATA HG 31104 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 1904/2018 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 MONROE SP018 MONROE SP019
106;GP30382;GP30382;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA DIREITA;;GP30382.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SGP30382; GP30382 AMORTECEDOR 023/2013 232013 127/2013 1272013 1904/2018 19042018 333755 3338030 4166/2012 41662012 4169/2012 41692012 94761911 HG 31105 HG31105 HG 31108 HG31108 CHEVROLET MERIVA TODOS OS MODELOS  AMORTECEDOR TURBOGAS DIANTEIRA DIREITA ORIGINAL 94761911 NAKATA HG 31108 KYB 333755 NAKATA HG 31105 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 1904/2018 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 KYB 3338030
108;GBL1252;GBL1252;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GBL1252.jpg;;;; GBL1252 AMORTECEDOR 021/2013 212013 345059 4167/2012 41672012 94757334 HG 31113 HG31113 HG 31176 HG31176 SP263 CHEVROLET MONTANA TODOS OS MODELOS  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 94757334 NAKATA HG 31176 NAKATA HG 31113 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE SP263 KYB 345059
110;GP30180;GP30180;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA ESQUERDA;;GP30180.jpg;;;; GP30180 AMORTECEDOR 023/2013 232013 127/2013 1272013 1904/2018 19042018 3338031 338728 4166/2012 41662012 4169/2012 41692012 HG 31111 HG31111 HG 31112 HG31112 SP021 SP226 CHEVROLET MONTANA FRENTE CORSA  AMORTECEDOR TURBOGAS DIANTEIRA ESQUERDA MONROE SP021 NAKATA HG 31111 KYB 338728 NAKATA HG 31112 MONROE SP226 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 1904/2018 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 KYB 3338031
111;GP30181;GP30181;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA DIREITA;;GP30181.jpg;;;; GP30181 AMORTECEDOR 023/2013 232013 127/2013 1272013 1904/2018 19042018 3338030 338729 4166/2012 41662012 4169/2012 41692012 HG 31111 HG31111 HG 31112 HG31112 SP020 CHEVROLET MONTANA FRENTE CORSA  AMORTECEDOR TURBOGAS DIANTEIRA DIREITA MONROE SP020 NAKATA HG 31112 KYB 338729 NAKATA HG 31111 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 1904/2018 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 KYB 3338030
112;GP30373;GP30373;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP30373.jpg;;;; GP30373 AMORTECEDOR 023/2013 232013 127/2013 1272013 4166/2012 41662012 4169/2012 41692012 94757335 94757336 HG 33056 HG33056 SP046 CHEVROLET MONTANA LS LS COMBO SPORT  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 94757336 ORIGINAL 94757335 NAKATA HG 33056 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 MONROE SP046
114;16015;16015;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16015.jpg;;;; 16015 MOLA A GAS MG 16074 MG16074 CHEVROLET MONZA HATCH  MOLA A GAS MOLA A GAS PORTA MALAS NAKATA MG 16074
115;32014;32014;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;32014.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SC32548; 32014 AMORTECEDOR 024/2013 242013 334067MM 4164/2012 41642012 665042 94644420 CT 32552 CT32552 CHEVROLET MONZA TODOS OS MODELOS - CAMBIO MANUAL  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 94644420 NAKATA CT 32552 KYB 665042 REGISTRO INMETRO 024/2013 REGISTRO INMETRO 4164/2012 MONROE 334067MM
116;B.47480;B47480;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47480.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL30200; B.47480 B47480 AMORTECEDOR 021/2013 212013 334908MM 4167/2012 41672012 443134 94644422 AC 30553 AC30553 CHEVROLET MONZA TODOS OS MODELOS  AMORTECEDOR SUPER TRASEIRA ORIGINAL 94644422 NAKATA AC 30553 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334908MM KYB 443134
117;B.47677;B47677;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47677.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SL30644; B.47677 B47677 AMORTECEDOR 021/2013 212013 334014MM 4167/2012 41672012 443134 52257133 AC 30668 AC30668 CHEVROLET MONZA TODOS OS MODELOS  AMORTECEDOR SUPER TRASEIRA ORIGINAL 52257133 NAKATA AC 30668 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 MONROE 334014MM KYB 443134
118;SC32548;SC32548;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;DIANTEIRA;;SC32548.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO 32014; SC32548 AMORTECEDOR 024/2013 242013 15067 334067MM 4164/2012 41642012 93218913 CT 32552 CT32552 SC32549 CHEVROLET MONZA SR - CAMBIO AUTOMATICO  AMORTECEDOR SPA - SUPER DIANTEIRA MONROE 15067 NAKATA CT 32552 MONROE 334067MM REGISTRO INMETRO 024/2013 REGISTRO INMETRO 4164/2012 CODIGO ANTIGO SC32549 ORIGINAL 93218913
120;SL30200;SL30200;AMORTECEDOR;AMORTECEDORES;SPA - SUPER;TRASEIRA;;SL30200.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SUPER CÓDIGO B.47480; SL30200 AMORTECEDOR 021/2013 212013 15908 334908MM 4167/2012 41672012 AC 30553 AC30553 CHEVROLET MONZA INCLUSIVE SR - AUTOMATICO  AMORTECEDOR SPA - SUPER TRASEIRA MONROE 15908 NAKATA AC 30553 MONROE 334908MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
122;22051;22051;AMORTECEDOR;AMORTECEDORES;SUPER;MOTOR;;22051.JPG;;;; 22051 AMORTECEDOR 90129493 CHEVROLET OMEGA SUPREMA  AMORTECEDOR SUPER MOTOR ORIGINAL 90129493
123;B.47686;B47686;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47686.JPG;;;; B.47686 B47686 AMORTECEDOR 021/2013 212013 4167/2012 41672012 93218095 CHEVROLET OMEGA  AMORTECEDOR SUPER TRASEIRA ORIGINAL 93218095 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
124;GB47739;GB47739;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB47739.jpg;;;; GB47739 AMORTECEDOR 021/2013 212013 334010MM 343216 4167/2012 41672012 93227976 CHEVROLET OMEGA  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 93227976 KYB 343216 MONROE 334010MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
125;GP32230;GP32230;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP32230.jpg;;;; GP32230 AMORTECEDOR 023/2013 232013 127/2013 1272013 334099 334100 4166/2012 41662012 4169/2012 41692012 93227973 CHEVROLET OMEGA SUPREMA  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 93227973 KYB 334099 KYB 334100 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012
